4403,4404,4405,4406,4407,4408,4409,4410,4411,4412,4413,4414,4415,4416,4417
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83
504,537,508,525,586,575,504,524,517,491,483,518,523,531,545
2705,570,2953,2507,1069,2596,1929,3079,768,1314,1143,2237,3118,940,905
7345,570,7506,5590,5574,7068,6851,7579,5623,5558,4874,6609,8248,5007,5110
11591,4699,12056,7905,10279,9552,11176,13139,8762,10319,9467,10743,13144,9208,8941
16057,9235,16864,11959,14819,9552,16607,17694,13725,15020,14766,14366,17749,13323,13657
20796,13637,20890,15385,18742,9552,22331,21241,18064,19582,18992,19245,22804,18330,17594
25299,17366,24925,19142,22962,10589,27372,25864,22696,23758,23631,23842,27282,23118,21170
29311,21520,29144,21704,27090,14055,32040,30610,28531,28834,29964,27637,31787,27032,25046
34621,25330,33675,25325,32724,18502,38724,36587,33920,33527,35342,33156,36950,32209,28851
39738,29111,39164,25748,38393,22910,43782,40674,39953,38300,40776,37356,41983,36674,32405
42477,32898,42850,25748,43046,26362,48088,45544,43303,43122,43613,40793,45998,41660,35806
47038,37314,48826,26674,46289,31619,52802,50857,48642,46587,48229,45311,50748,46248,39057
52917,42512,53828,29321,51053,36302,56899,54946,53555,52006,53088,49142,56224,50131,43719
57723,47629,58009,31152,55643,40316,61476,60591,58275,55752,56162,53101,60613,54981,48338
63005,52183,63168,34233,59412,46109,67537,65775,62317,60709,60175,57286,65944,58925,53325
67321,58300,66932,37480,64405,50127,72579,71554,67822,66117,65437,62091,70750,64687,56927
72315,63962,72274,41400,69883,55132,79359,76979,73822,71034,70991,66642,76125,69503,62426
75145,67756,77193,44822,74763,59885,84539,80984,78016,76996,75425,71118,80916,73474,66774
79329,73190,82443,47244,80394,63437,89747,83764,81457,83086,80302,74699,86590,79438,70233
83318,76750,87852,50633,84105,66721,95097,86367,86493,87424,84302,78061,91785,82675,74987
87139,82139,92741,54712,86739,69248,1.0041e+05,90724,91128,93754,89370,82123,96065,87327,78971
90723,87215,96007,57620,90150,71968,1.0485e+05,94355,95272,97777,93012,85432,1.0079e+05,92258,81774
93915,90778,99176,60246,93963,75791,1.0912e+05,95898,97239,1.0037e+05,96718,88936,1.0532e+05,96790,85819
97306,95605,1.0325e+05,62881,97126,79301,1.143e+05,98102,98837,1.0342e+05,1.0122e+05,93554,1.0843e+05,1.0078e+05,90131
1.0129e+05,99782,1.0659e+05,65643,1.0002e+05,80777,1.2015e+05,1.0142e+05,1.0387e+05,1.0647e+05,1.0434e+05,97378,1.1362e+05,1.0609e+05,94311
