4338,4339,4340,4341,4342,4343,4344,4345,4346,4347,4348,4349,4350,4351,4352,4353,4354,4355,4356,4357,4358,4359,4360,4361,4362,4363,4364,4365,4366,4367,4368,4369,4370,4371,4372,4373,4374,4375,4376,4377,4378,4379,4380,4381,4382,4383,4384,4385
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79
3,8,0,0,3,11,0,6,0,12,5,0,0,4,0,0,0,0,12,0,0,1,3,6,2,0,11,1,10,10,0,0,0,10,1,9,4,8,10,7,0,0,11,0,4,0,0,1
84,83,0,0,84,84,0,83,0,82,83,0,0,82,0,0,0,0,84,0,0,84,85,84,83,0,84,84,82,84,0,0,0,84,85,84,83,84,82,82,0,0,83,0,85,0,0,85
2.209e+05,1.866e+05,0,0,2.099e+05,1.988e+05,0,1.877e+05,0,1.625e+05,1.878e+05,0,0,1.248e+05,0,0,0,0,2.507e+05,0,0,1.877e+05,2.434e+05,2.081e+05,1.465e+05,0,2.159e+05,2.048e+05,1.566e+05,2.352e+05,0,0,0,2.321e+05,2.327e+05,2.292e+05,1.592e+05,2.365e+05,1.419e+05,1.499e+05,0,0,1.949e+05,0,2.734e+05,0,0,2.151e+05
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79
3369,16782,16037,12911,8958,3753,4445,17483,3083,19040,12215,16878,17925,3860,8364,23570,21487,4701,8577,15557,10105,19469,8254,5355,5539,5804,3023,2491,6556,8639,16147,2950,13175,11846,9728,4325,1888,17471,15879,20423,6130,8550,16019,19368,23614,17306,13301,7064
7946,22560,21147,17126,9144,7933,8068,22717,8847,24329,16038,19949,22141,7426,13093,29927,26580,8316,13521,20296,14523,23734,13524,9314,10132,10589,6929,5979,11654,11868,18741,6364,14006,14563,11572,8525,5614,21488,15944,24798,9772,12523,20763,24705,29688,21887,17214,10271
11601,25244,24279,18101,12603,11187,10969,25193,11934,26793,19480,23180,24805,10706,16131,32602,30144,11508,15749,23762,16873,26922,16812,12726,13514,13701,9956,8718,15181,14725,21997,9273,14006,15012,16175,11175,8791,25067,17052,28037,13120,15695,21317,28105,32642,25400,20275,10842
